date,leading_indicator,coincident_indicator,lagging_indicator
1960-01-31,26.0759429,21.0484504,36.8860358
1960-02-29,26.2232646,21.438981,36.4746327
1960-03-31,25.8976062,21.7261359,35.745327
1960-04-30,25.6417316,21.6572186,35.3339238
1960-05-31,25.5874551,21.852484,35.0908219
1960-06-30,25.4013646,21.7835669,35.5957259
1960-07-31,25.1377362,21.9845752,36.1099799
1960-08-31,24.8120778,21.731879,36.9234361
1960-09-30,24.5639569,21.3930363,37.5779413
1960-10-31,24.3623588,21.0599366,38.5409987
1960-11-30,24.1762682,20.9910194,37.680792
1960-12-31,24.1219918,20.9163592,37.5592412
1961-01-31,24.1995295,20.7670387,37.0075868
1961-02-28,24.2150371,20.7038646,37.6620919
1961-03-31,24.2925748,20.370765,36.642934
1961-04-30,24.2382984,20.0491515,35.8014275
1961-05-31,24.1142379,19.3829523,34.6607186
1961-06-30,23.9281474,18.71101,34.2680156
1961-07-31,23.9359013,18.3089932,33.8659625
1961-08-31,24.1452531,18.0792693,34.062314
1961-09-30,24.5019268,18.0218383,34.4176167
1961-10-31,24.9283843,18.0505538,35.4928751
1961-11-30,25.3393343,18.0792693,35.0908219
1961-12-31,25.4091184,18.2687915,35.2965235
1962-01-31,25.4246259,18.3721672,34.6139682
1962-02-28,25.7812994,18.4870292,34.8009697
1962-03-31,26.3395713,18.4238551,35.1375723
1962-04-30,26.9753808,18.538717,35.4741749
1962-05-31,27.3863308,18.716753,35.9510286
1962-06-30,27.9446025,18.9866786,35.6892267
1962-07-31,28.5028743,19.3370076,36.1660804
1962-08-31,29.0533923,19.60119,35.7733772
1962-09-30,29.6194177,20.1123256,36.5400832
1962-10-31,30.2552273,20.4511684,37.278739
1962-11-30,31.0150971,20.7957542,38.0360948
1962-12-31,31.3795246,20.9737902,37.9145439
1963-01-31,31.4570622,21.0599366,38.3726974
1963-02-28,31.5501076,21.3987793,39.1020031
1963-03-31,31.5578614,21.5595861,39.9715598
1963-04-30,31.9920727,21.9845752,40.8317665
1963-05-31,32.2091784,21.9903184,41.2618698
1963-06-30,32.4960681,22.151125,41.8602745
1963-07-31,32.7907115,22.3980782,42.5615298
1963-08-31,33.2869531,22.6392883,43.1318843
1963-09-30,33.9305163,23.1963687,43.9733908
1963-10-31,34.3492201,23.4318356,43.8424898
1963-11-30,34.6361096,23.9027697,44.253893
1963-12-31,34.8764768,23.9027697,44.4128442
1964-01-31,34.8764768,24.3737036,45.3759016
1964-02-29,35.1788739,24.2128969,45.927556
1964-03-31,35.8767136,24.752748,46.3296091
1964-04-30,36.0395429,24.9078116,46.6101113
1964-05-31,36.3341863,25.4361765,46.8812633
1964-06-30,36.2101259,25.2753698,47.5544685
1964-07-31,36.0860656,25.1203061,48.2276737
1964-08-31,36.1713571,25.4936075,48.3398747
1964-09-30,36.3341863,25.7865055,48.3398747
1964-10-31,36.0783118,26.2287239,47.8069205
1964-11-30,35.3959796,26.7513457,48.1996236
1964-12-31,34.5818333,26.7283733,48.8541287
1965-01-31,34.178637,26.940868,50.0322379
1965-02-28,33.9305163,26.9293818,50.4062407
1965-03-31,33.666888,26.998299,50.1257385
1965-04-30,33.1939077,26.9868128,50.2566396
1965-05-31,32.8604955,26.7456026,50.6399925
1965-06-30,32.4650529,26.584796,50.8737443
1965-07-31,32.2091784,26.4239892,51.2477472
1965-08-31,31.8835198,26.1253482,51.3599481
1965-09-30,31.674168,25.7463038,51.8461519
1965-10-31,31.8292434,25.7348175,51.8368018
1965-11-30,31.9998265,25.6486712,52.2014546
1965-12-31,32.0075803,25.2064526,52.0518535
1966-01-31,32.0230878,24.8388945,51.6591504
1966-02-28,32.3875152,24.9709856,51.1168462
1966-03-31,32.604621,25.0284166,51.1074961
1966-04-30,33.2481841,25.0284166,51.2290471
1966-05-31,33.9615314,24.9365271,51.1916468
1966-06-30,34.6128484,25.4246903,50.9298448
1966-07-31,35.0548135,25.9702846,50.2846897
1966-08-31,35.2021352,26.1655498,50.3875405
1966-09-30,35.6441003,26.5101357,50.4903914
1966-10-31,36.0085277,26.6307407,51.2290471
1966-11-30,36.1636033,26.40676,51.4440987
1966-12-31,36.0395429,26.4527047,51.7994015
1967-01-31,35.7138843,26.5790528,51.2851475
1967-02-28,35.52004,26.9753265,51.2477472
1967-03-31,35.4580098,27.29694,51.350598
1967-04-30,35.4114872,27.5553793,52.0518535
1967-05-31,35.2176428,27.8712497,53.0055608
1967-06-30,34.8764768,27.4462605,53.4543642
1967-07-31,34.5508182,27.2854538,53.678766
1967-08-31,33.8607323,26.7226302,53.155162
1967-09-30,33.4575361,26.4354755,52.2762552
1967-10-31,33.6901493,26.0794034,52.257555
1967-11-30,34.0545767,25.8726519,51.7526511
1967-12-31,34.5663258,26.1770361,52.0892537
1968-01-31,34.9307532,26.3550721,52.4165063
1968-02-29,35.791422,26.7283733,52.9681606
1968-03-31,36.9389807,26.7168871,52.8185594
1968-04-30,38.0245091,26.6939148,52.781159
1968-05-31,39.0324998,26.6020252,53.2206124
1968-06-30,39.6062791,26.9810696,54.2491205
1968-07-31,39.9784602,27.2854538,54.2023701
1968-08-31,40.637531,27.5783517,54.5109226
1968-09-30,41.2966018,27.8138187,53.8938177
1968-10-31,41.668783,27.9229376,54.6792238
1968-11-30,41.7618283,28.1526614,55.6703315
1968-12-31,42.4751755,28.3766422,56.8858409
1969-01-31,43.1420001,28.3536698,57.1943933
1969-02-28,44.0802068,28.7729159,57.4748955
1969-03-31,44.2507899,29.0600707,57.7740978
1969-04-30,44.553187,29.7262701,58.2977019
1969-05-31,44.3670965,30.0019386,58.578204
1969-06-30,44.31282,30.5877345,59.092458
1969-07-31,44.1267295,30.6221931,59.3729601
1969-08-31,44.4989105,31.0184668,59.5506116
1969-09-30,44.8090616,31.1735303,59.9433147
1969-10-31,45.1114588,31.443456,59.990065
1969-11-30,44.9176144,31.5238593,60.5978197
1969-12-31,44.2895587,31.5410886,60.8689718
1970-01-31,43.9639002,31.9316192,61.027923
1970-02-28,43.6304879,32.0751966,62.0657811
1970-03-31,44.1499908,32.7069373,62.8979375
1970-04-30,44.1034682,33.0228077,63.9264455
1970-05-31,44.0569454,33.5798881,63.8422948
1970-06-30,43.6382417,33.4707692,63.7674942
1970-07-31,43.5994728,33.4822554,64.5809505
1970-08-31,43.692518,33.6717776,65.5907584
1970-09-30,43.7157794,33.9302169,67.0213195
1970-10-31,43.591719,34.1139961,67.5823238
1970-11-30,43.320337,34.4758112,67.6197241
1970-12-31,42.8396029,34.7859384,68.0591775
1971-01-31,42.289085,34.9639744,69.0596353
1971-02-28,41.8005972,35.1420104,70.1442436
1971-03-31,41.3276169,34.9065435,69.0783355
1971-04-30,40.846883,34.3839217,68.3583799
1971-05-31,40.4281791,34.0450789,68.2742291
1971-06-30,40.1645508,34.0450789,69.2466367
1971-07-31,39.9707064,34.3437199,69.4616884
1971-08-31,39.7768621,33.8842723,68.9567844
1971-09-30,39.5054799,33.3788797,68.9754846
1971-10-31,39.3814196,33.2640177,68.8726339
1971-11-30,39.6217866,33.3903659,69.1063857
1971-12-31,39.5597564,33.2180729,68.2742291
1972-01-31,39.8001234,33.1089541,67.357922
1972-02-29,39.815631,32.7241667,65.6188087
1972-03-31,40.055998,32.3393791,65.029754
1972-04-30,40.4359329,32.0005364,64.0199462
1972-05-31,41.2500792,31.8971606,64.0479964
1972-06-30,41.8471199,31.6846661,63.860995
1972-07-31,42.5139443,31.6961522,64.1975976
1972-08-31,43.0412011,31.5296024,64.4219993
1972-09-30,44.0026691,32.2072879,64.5342002
1972-10-31,44.8943531,32.982606,65.0578042
1972-11-30,45.6464693,33.69475,66.2920139
1972-12-31,46.9646109,34.3609493,67.4140225
1973-01-31,47.646943,34.2460873,68.6108318
1973-02-28,48.7634865,34.7916815,68.517331
1973-03-31,49.6474167,34.8376263,69.0315851
1973-04-30,51.1283876,35.6990908,69.5177888
1973-05-31,52.1053632,35.9575303,70.312545
1973-06-30,52.9892935,36.5490692,70.9951003
1973-07-31,53.3769823,36.7443345,71.6870056
1973-08-31,53.7103945,37.2152684,72.2760602
1973-09-30,53.656118,37.9446418,72.3602108
1973-10-31,53.4700275,38.3581447,72.4443616
1973-11-30,52.834218,38.547667,74.1834749
1973-12-31,52.7101576,38.8979959,75.0343316
1974-01-31,52.7411727,38.7199599,77.0445972
1974-02-28,53.2684294,39.2138663,77.5027507
1974-03-31,53.524304,39.0415733,79.1109631
1974-04-30,53.4079972,39.4837918,80.0459704
1974-05-31,52.5473283,39.5125073,81.4391312
1974-06-30,51.7797047,39.8456068,81.5887324
1974-07-31,50.7717141,39.8915516,82.1123365
1974-08-31,50.2056885,39.6790571,82.5330897
1974-09-30,49.6474167,39.6216261,83.1221443
1974-10-31,49.2364668,39.0473164,83.5335474
1974-11-30,48.9650846,38.788877,83.6363982
1974-12-31,48.3292751,38.317943,85.2259105
1975-01-31,47.9028175,38.1743656,85.8056151
1975-02-28,47.577159,37.9905865,87.348377
1975-03-31,47.7012193,38.7773909,88.0963828
1975-04-30,47.5228826,39.1162335,89.0687904
1975-05-31,47.8640487,39.9604688,89.0687904
1975-06-30,48.1431845,40.207422,88.4423355
1975-07-31,48.2517374,40.270596,89.2651419
1975-08-31,48.1509383,40.8219334,89.3679927
1975-09-30,47.8330335,41.2641518,89.3960429
1975-10-31,47.8097722,42.0279837,89.9757474
1975-11-30,47.7089732,42.2519645,88.5919367
1975-12-31,47.0421485,42.2921662,88.1524833
1976-01-31,46.445108,42.5850641,87.1800757
1976-02-29,45.7084994,42.6597244,87.4418778
1976-03-31,45.2510267,42.3668264,87.0865749
1976-04-30,44.6539861,41.1378037,86.1983181
1976-05-31,44.212021,40.2820822,85.14176
1976-06-30,43.7700559,39.6905433,83.6924987
1976-07-31,43.2505529,39.1162335,82.841642
1976-08-31,42.8008341,38.2834845,82.2619376
1976-09-30,42.2270548,36.951086,81.7009332
1976-10-31,42.0021952,36.3538038,81.420431
1976-11-30,41.6300142,35.6646323,80.9435773
1976-12-31,41.3896471,35.2683585,80.5228241
1977-01-31,41.0950038,34.7859384,79.868319
1977-02-28,40.9631896,34.5160128,78.3816575
1977-03-31,40.9011593,34.2518304,76.6238439
1977-04-30,40.9089132,33.8900153,75.2493832
1977-05-31,40.9942047,33.3903659,74.4265768
1977-06-30,41.0019584,32.9309182,74.7070791
1977-07-31,41.2888481,32.8103131,74.0151737
1977-08-31,41.7153057,32.689708,73.931023
1977-09-30,42.2735774,32.5403874,72.6781134
1977-10-31,42.5604671,32.3049205,71.602855
1977-11-30,42.8318492,32.2187741,70.443446
1977-12-31,43.2583068,32.7930838,70.3312452
1978-01-31,43.6072266,33.1836144,68.8726339
1978-02-28,43.5451963,33.4707692,69.4990887
1978-03-31,43.9639002,33.5741449,69.7515407
1978-04-30,44.5066644,33.9531894,70.5462968
1978-05-31,45.8170523,34.7227643,69.284037
1978-06-30,46.4916306,34.7859384,69.4429882
1978-07-31,47.6546968,35.1247812,69.414938
1978-08-31,48.1897073,34.8893142,70.7519984
1978-09-30,49.1511752,35.4176791,71.7898564
1978-10-31,49.7482159,35.7048339,73.1175668
1978-11-30,50.5468545,36.1011077,73.1923672
1978-12-31,51.221433,36.4399503,73.931023
1979-01-31,52.1053632,37.0659479,68.0311272
1979-02-28,52.9350171,37.0200032,67.5729737
1979-03-31,53.6018416,37.2612133,67.6010239
1979-04-30,53.7801785,37.66323,68.8913339
1979-05-31,54.1213445,37.9503848,69.6860901
1979-06-30,54.7881691,38.3064569,70.3031949
1979-07-31,55.8581899,38.369631,70.6584977
1979-08-31,56.5870447,38.8348218,71.1260013
1979-09-30,58.2928751,39.4033884,71.724406
1979-10-31,60.324364,40.3165409,72.1077589
1979-11-30,61.8751187,41.1722623,73.2391176
1979-12-31,62.8443406,41.804003,73.9590732
1980-01-31,65.7597596,43.6647664,77.016547
1980-02-29,66.4653532,44.5147447,79.99922
1980-03-31,66.0699107,44.7042669,81.5980824
1980-04-30,65.5038851,45.715052,81.3175803
1980-05-31,65.5891766,46.5305717,81.9907855
1980-06-30,66.3025239,46.7143509,84.4966049
1980-07-31,67.1787004,47.7997962,86.4694702
1980-08-31,67.5043589,48.0926941,88.4329854
1980-09-30,68.1324147,48.8392968,87.9654818
1980-10-31,68.0471231,49.5916424,86.7219222
1980-11-30,67.4035598,49.9936592,85.7869149
1980-12-31,65.8993277,50.0166316,87.7504301
1981-01-31,65.0153974,51.3260577,88.5919367
1981-02-28,63.9221153,51.9118536,89.5736942
1981-03-31,64.069437,52.4919064,91.9953631
1981-04-30,64.4726332,53.0719592,92.6498681
1981-05-31,64.1624822,54.1114598,92.2010647
1981-06-30,63.2863057,54.18612,94.3889815
1981-07-31,62.5109283,55.1624465,94.4731323
1981-08-31,62.1232396,55.1796759,96.5581984
1981-09-30,62.1309933,55.9377647,97.6989072
1981-10-31,61.9061339,55.9549939,97.8672086
1981-11-30,61.5184452,55.9205353,101.1584341
1981-12-31,60.1925498,56.0066818,103.3183009
1982-01-31,58.7813629,55.5127754,107.6847847
1982-02-28,58.3238902,55.4208859,109.6950502
1982-03-31,57.7035883,54.8810348,111.2752125
1982-04-30,57.1763316,53.9449099,111.1162611
1982-05-31,56.5560297,53.1695918,112.3411207
1982-06-30,56.1916023,52.9685835,110.8638093
1982-07-31,55.9667428,52.3023843,109.1340459
1982-08-31,56.2226173,51.5385523,107.3762322
1982-09-30,57.0057486,50.7632343,108.2644892
1982-10-31,56.3932003,49.6433303,109.2555968
1982-11-30,57.0290098,48.7646365,110.1625538
1982-12-31,58.5875185,48.6095729,107.3668821
1983-01-31,60.1537809,47.495412,106.4879754
1983-02-28,62.0146868,47.0072488,103.7110038
1983-03-31,62.1077321,47.4150087,100.8218315
1983-04-30,62.5807122,47.0933953,99.8307237
1983-05-31,63.7437784,47.3977794,97.2501037
1983-06-30,63.6662407,48.0410062,95.4548898
1983-07-31,63.0536925,48.2305285,95.090237
1983-08-31,62.6039735,48.9886173,93.6970762
1983-09-30,63.7670398,49.6375872,93.5755253
1983-10-31,64.0849445,50.0510902,94.4731323
1983-11-30,64.2477737,51.044646,93.790577
1983-12-31,64.1082058,51.7453038,93.2108724
1984-01-31,64.7982918,52.4976495,93.2202225
1984-02-29,65.4961314,53.5486362,93.2108724
1984-03-31,65.5736691,54.1688908,91.6774606
1984-04-30,65.1161965,54.2837527,91.8457618
1984-05-31,65.9691117,55.6850684,90.2001491
1984-06-30,64.9843823,55.3577119,93.9214779
1984-07-31,63.4879038,54.1918632,96.7639
1984-08-31,62.2007773,54.0482858,99.606322
1984-09-30,60.8593744,53.1925642,100.9807826
1984-10-31,60.9369121,52.7101442,102.8601472
1984-11-30,60.8903896,52.3196135,103.3650512
1984-12-31,60.4329168,52.0554311,103.1873997
1985-01-31,60.3708866,52.3827876,104.0943567
1985-02-28,59.8668913,52.1186051,103.6829536
1985-03-31,60.0995045,51.9348261,103.8138546
1985-04-30,59.9676903,51.6074696,104.0569565
1985-05-31,60.5182083,50.9125548,101.5511371
1985-06-30,60.905897,50.631143,98.2973119
1985-07-31,61.2160479,50.2463555,96.6610492
1985-08-31,62.5109283,50.2118969,95.0434867
1985-09-30,62.9606473,50.7747204,91.9486127
1985-10-31,63.4181199,51.2169388,89.6952452
1985-11-30,64.7130002,51.3030853,86.8528231
1985-12-31,64.5734323,50.7689773,84.5994557
1986-01-31,64.5114021,49.7065043,84.2722032
1986-02-28,64.821553,49.2585428,82.9070926
1986-03-31,64.5346634,48.3051887,83.9449506
1986-04-30,65.7287447,49.3446893,83.3839463
1986-05-31,65.8993277,48.6670038,81.5980824
1986-06-30,65.8993277,48.8852415,81.2895301
1986-07-31,66.5041221,49.6605596,81.0651283
1986-08-31,66.7367354,49.4825236,80.2516719
1986-09-30,68.0006005,49.9821731,78.5499589
1986-10-31,68.8380081,50.0281177,77.3718497
1986-11-30,68.8380081,50.0108886,77.6897522
1986-12-31,68.4890883,50.2118969,77.0071969
1987-01-31,69.1559129,50.4473639,76.4461925
1987-02-28,69.6133855,50.7689773,76.9323962
1987-03-31,69.9855668,51.044646,75.9225884
1987-04-30,70.869497,51.4926076,75.4924851
1987-05-31,70.8850045,51.4638921,75.7729872
1987-06-30,70.9547885,51.992257,75.8197376
1987-07-31,71.1176177,52.5608236,75.2493832
1987-08-31,69.5125865,52.0898896,75.7729872
1987-09-30,71.79995,52.5665667,75.6514364
1987-10-31,72.5288047,53.2040504,75.604686
1987-11-30,73.4902727,53.5428932,75.8945383
1987-12-31,73.7771624,54.7546867,76.1843905
1988-01-31,74.0718058,55.5587203,75.857138
1988-02-29,74.3819568,56.8451739,76.1095899
1988-03-31,75.5527766,57.3390803,77.1006976
1988-04-30,75.4907465,57.0346962,78.1385556
1988-05-31,76.1343096,57.1208425,79.6626174
1988-06-30,76.0102493,58.2637189,80.3077724
1988-07-31,74.7696454,59.2859902,78.9052615
1988-08-31,75.0720426,60.2565735,79.98052
1988-09-30,74.3586954,60.6700765,80.5415242
1988-10-31,74.9495669,60.8021678,81.394072
1988-11-30,74.0382105,61.2558724,83.684864
1988-12-31,74.3894624,61.3994498,83.31854
1989-01-31,74.0287172,60.7791954,83.31854
